date,predicted_index,real_price,regime_probability,steel_etf,iron_ore,thermal_coal_futures,bdry_freight,al_price,india_steel,vix,usd_inr,silica_quartz_index,cny_inr,hydrology_rainfall_index,zce_fesi_futures,carbon_emissions_futures,electricity_power_index,fx_effect
2026-11-13,233.71836,96.955,0.3398,108.2425,128.4406,113.2219,9.8967,3532.8315,1553.6071,19.8477,96.4408,148.27,13.786,100.0,5628.0,74.71,193.413,6.9956
2026-11-20,233.13493,96.713,0.3503,107.5542,125.9442,109.3613,10.5786,3579.2243,1509.4958,22.9,96.7168,148.27,13.786,100.0,5628.0,74.71,187.841,7.0156
2026-11-27,233.05254,96.6788,0.3353,103.866,123.1567,114.3085,11.107,3586.2212,1518.9181,28.0796,96.3583,148.27,13.786,100.0,5628.0,74.71,194.9813,6.9896
2026-12-04,233.03887,96.6731,0.3232,103.135,128.8455,120.0315,11.8373,3734.1123,1521.9698,31.2874,96.1958,148.27,13.786,100.0,5628.0,74.71,203.2414,6.9778
2026-12-11,230.53177,95.6331,0.3347,103.8813,132.0587,114.3807,13.8695,3635.0506,1445.5633,37.6382,96.805,148.27,13.786,100.0,5628.0,74.71,195.0856,7.022
2026-12-18,230.24159,95.5127,0.3097,104.1001,127.3691,114.9051,13.2302,3748.0554,1437.8444,32.9143,96.6296,148.27,13.786,100.0,5628.0,74.71,195.8425,7.0093
2026-12-25,230.77582,95.7343,0.2967,100.5159,128.6864,116.5905,12.7791,3705.1286,1453.7719,26.0427,95.6925,148.27,13.786,100.0,5628.0,74.71,198.2749,6.9413
2027-01-01,231.83965,96.1757,0.2661,102.2057,136.7026,122.6592,12.6639,3710.8203,1393.3293,25.9326,95.5379,148.27,13.786,100.0,5628.0,74.71,207.0339,6.9301
2027-01-08,231.32363,95.9616,0.2389,104.9087,145.5559,121.8843,13.0824,3793.6217,1370.565,26.8516,95.5911,148.27,13.786,100.0,5628.0,74.71,205.9156,6.9339
2027-01-15,228.24534,94.6846,0.2124,105.2642,148.5859,132.8018,14.084,4046.4608,1326.9262,30.8592,95.7617,148.27,13.786,100.0,5628.0,74.71,221.6727,6.9463
2027-01-22,231.2115,95.9151,0.1943,101.5195,145.0481,117.1556,13.5789,3965.4539,1336.6955,32.5662,97.1207,148.27,13.786,100.0,5628.0,74.71,199.0905,7.0449
2027-01-29,233.49167,96.861,0.2318,97.6372,148.027,108.3761,15.5927,4111.0657,1310.859,24.6981,98.1234,148.27,13.786,100.0,5628.0,74.71,186.4191,7.1176
2027-02-05,232.0953,96.2817,0.2453,90.9544,144.4991,108.4176,15.6831,4064.5391,1347.7077,20.7806,98.0605,148.27,13.786,100.0,5628.0,74.71,186.479,7.113
2027-02-12,227.94317,94.5593,0.2446,94.1432,138.0686,99.0334,17.2807,4110.7096,1305.6935,26.6413,98.1804,148.27,13.786,100.0,5628.0,74.71,172.9348,7.1217
2027-02-19,230.68547,95.6969,0.1892,103.6361,148.3382,97.5945,18.6119,4195.141,1386.3591,22.7907,98.7081,148.27,13.786,100.0,5628.0,74.71,170.8581,7.16
2027-02-26,232.62883,96.503,0.1882,98.3522,136.5521,96.0602,19.6696,4389.036,1391.7488,29.5868,97.7552,148.27,13.786,100.0,5628.0,74.71,168.6436,7.0909
2027-03-05,231.64766,96.096,0.1571,100.2649,136.4036,85.0243,19.578,4231.8192,1433.6104,31.356,97.121,148.27,13.786,100.0,5628.0,74.71,152.7154,7.0449
2027-03-12,234.22893,97.1668,0.1237,100.1413,141.8466,80.2206,20.3622,4172.8714,1386.0995,30.7951,96.4226,148.27,13.786,100.0,5628.0,74.71,145.7823,6.9942
2027-03-19,235.89166,97.8566,0.111,109.7256,142.0822,76.9775,20.7252,4164.8128,1373.7215,33.9644,96.986,148.27,13.786,100.0,5628.0,74.71,141.1015,7.0351
2027-03-26,233.16683,96.7262,0.15,108.5174,129.3967,70.3922,22.9772,4374.4162,1359.7684,37.2351,97.235,148.27,13.786,100.0,5628.0,74.71,131.597,7.0532
2027-04-02,232.21467,96.3312,0.1794,108.0405,124.4841,64.0241,23.3654,4284.5371,1279.2779,33.5333,96.4997,148.27,13.786,100.0,5628.0,74.71,122.406,6.9998
2027-04-09,234.20098,97.1552,0.1392,108.1509,132.2431,64.3206,21.9536,4483.8037,1310.1621,28.3616,96.3924,148.27,13.786,100.0,5628.0,74.71,122.8339,6.9921
2027-04-16,236.16607,97.9704,0.1179,112.9795,142.9631,59.2243,22.9251,4404.77,1283.4728,25.7669,95.813,148.27,13.786,100.0,5628.0,74.71,115.4783,6.95
2027-04-23,232.1259,96.2944,0.1454,114.5315,142.697,58.3971,21.4634,4336.2359,1326.7794,27.91,95.1574,148.27,13.786,100.0,5628.0,74.71,114.2844,6.9025
2027-04-30,233.20955,96.7439,0.1215,106.2449,145.9151,56.1584,22.4232,4245.5028,1227.6353,21.4697,95.2137,148.27,13.786,100.0,5628.0,74.71,111.0534,6.9066
