Date,Predicted_Index
2026-05-18,107.04401828155534
2026-05-25,107.01252144779318
2026-06-01,107.01252144779318
2026-06-08,107.01252144779318
2026-06-15,107.01252144779318
2026-06-22,107.01252144779318
2026-06-29,107.01252144779318
2026-07-06,107.01252144779318
2026-07-13,107.01252144779318
2026-07-20,107.01252144779318
2026-07-27,107.01252144779318
2026-08-03,107.01252144779318
2026-08-10,107.01252144779318
2026-08-17,107.01252144779318
2026-08-24,107.01252144779318
2026-08-31,107.01252144779318
2026-09-07,107.01252144779318
2026-09-14,107.01252144779318
2026-09-21,107.01252144779318
2026-09-28,107.01252144779318
2026-10-05,107.01252144779318
2026-10-12,107.01252144779318
2026-10-19,107.01252144779318
2026-10-26,107.01252144779318
2026-11-02,107.01252144779318
2026-11-09,107.01252144779318
2026-11-16,107.01252144779318
2026-11-23,107.01252144779318
2026-11-30,107.01252144779318
2026-12-07,107.01252144779318
2026-12-14,107.01252144779318
2026-12-21,107.01252144779318
2026-12-28,107.01252144779318
2027-01-04,107.01252144779318
2027-01-11,107.01252144779318
2027-01-18,107.01252144779318
2027-01-25,107.01252144779318
2027-02-01,107.01252144779318
2027-02-08,107.01252144779318
2027-02-15,107.01252144779318
2027-02-22,107.01252144779318
2027-03-01,107.01252144779318
2027-03-08,107.01252144779318
2027-03-15,107.01252144779318
2027-03-22,107.01252144779318
2027-03-29,107.01252144779318
2027-04-05,107.01252144779318
2027-04-12,107.01252144779318
2027-04-19,107.01252144779318
2027-04-26,107.01252144779318
2027-05-03,107.01252144779318
2027-05-10,107.01252144779318
2027-05-17,107.01252144779318
2027-05-24,107.01252144779318
2027-05-31,107.01252144779318
2027-06-07,107.01252144779318
2027-06-14,107.01252144779318
2027-06-21,107.01252144779318
2027-06-28,107.01252144779318
2027-07-05,107.01252144779318
2027-07-12,107.01252144779318
2027-07-19,107.01252144779318
2027-07-26,107.01252144779318
2027-08-02,107.01252144779318
2027-08-09,107.01252144779318
2027-08-16,107.01252144779318
2027-08-23,107.01252144779318
2027-08-30,107.01252144779318
2027-09-06,107.01252144779318
2027-09-13,107.01252144779318
2027-09-20,107.01252144779318
2027-09-27,107.01252144779318
2027-10-04,107.01252144779318
2027-10-11,107.01252144779318
2027-10-18,107.01252144779318
2027-10-25,107.01252144779318
2027-11-01,107.01252144779318
2027-11-08,107.01252144779318
2027-11-15,107.01252144779318
2027-11-22,107.01252144779318
2027-11-29,107.01252144779318
2027-12-06,107.01252144779318
2027-12-13,107.01252144779318
2027-12-20,107.01252144779318
2027-12-27,107.01252144779318
2028-01-03,107.01252144779318
2028-01-10,107.01252144779318
2028-01-17,107.01252144779318
2028-01-24,107.01252144779318
2028-01-31,107.01252144779318
2028-02-07,107.01252144779318
2028-02-14,107.01252144779318
2028-02-21,107.01252144779318
2028-02-28,107.01252144779318
2028-03-06,107.01252144779318
2028-03-13,107.01252144779318
2028-03-20,107.01252144779318
2028-03-27,107.01252144779318
2028-04-03,107.01252144779318
2028-04-10,107.01252144779318
2028-04-17,107.01252144779318
2028-04-24,107.01252144779318
2028-05-01,107.01252144779318
2028-05-08,107.01252144779318
2028-05-15,107.01252144779318
2028-05-22,107.01252144779318
2028-05-29,107.01252144779318
2028-06-05,107.01252144779318
2028-06-12,107.01252144779318
2028-06-19,107.01252144779318
2028-06-26,107.01252144779318
2028-07-03,107.01252144779318
2028-07-10,107.01252144779318
2028-07-17,107.01252144779318
2028-07-24,107.01252144779318
2028-07-31,107.01252144779318
2028-08-07,107.01252144779318
2028-08-14,107.01252144779318
2028-08-21,107.01252144779318
2028-08-28,107.01252144779318
2028-09-04,107.01252144779318
2028-09-11,107.01252144779318
2028-09-18,107.01252144779318
2028-09-25,107.01252144779318
2028-10-02,107.01252144779318
2028-10-09,107.01252144779318
2028-10-16,107.01252144779318
2028-10-23,107.01252144779318
2028-10-30,107.01252144779318
2028-11-06,107.01252144779318
2028-11-13,107.01252144779318
2028-11-20,107.01252144779318
2028-11-27,107.01252144779318
2028-12-04,107.01252144779318
2028-12-11,107.01252144779318
2028-12-18,107.01252144779318
2028-12-25,107.01252144779318
2029-01-01,107.01252144779318
2029-01-08,107.01252144779318
2029-01-15,107.01252144779318
2029-01-22,107.01252144779318
2029-01-29,107.01252144779318
2029-02-05,107.01252144779318
2029-02-12,107.01252144779318
2029-02-19,107.01252144779318
2029-02-26,107.01252144779318
2029-03-05,107.01252144779318
2029-03-12,107.01252144779318
2029-03-19,107.01252144779318
2029-03-26,107.01252144779318
2029-04-02,107.01252144779318
2029-04-09,107.01252144779318
2029-04-16,107.01252144779318
2029-04-23,107.01252144779318
2029-04-30,107.01252144779318
2029-05-07,107.01252144779318
